Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Suhr,,,,,,,,,3299.00
Hallmark,2016,Solid Wood,,Custom 60 Les Fradkin Signature,6 String,Surf Pearl,Solid,,999.00
Fender,,,,,,,,,674.99
G&L,,,,,,,,,539.99
Schecter,,,,,,,,,345.51
Mystic,,Solid Wood,,SRP90,,Vintage Cherry,Solid,,299.95
Schecter,,,,,,,,,449.00
Dean,,,,,6 String,,,,849.99
Schecter,,,,,,,,,365.31
Dean,,,,,,,,,349.00
Cort,,,,,6 String,,,,349.99
Danelectro,,Spruce,,Vintage,6 String,Black,Semi-Hollow,Right-Handed,499.00
Dean,,,,,6 String,,,,1229.00
Paul Reed Smith,2019,Mahogany,,Paul's Guitar,6 String,Fire Red,Solid,,999.00
AIO,2019,Solid Wood,,SC77,6 String,Trans Green,Solid,Right-Handed,449.00
Gretsch,,,,,,,,,629.99
,,,,Custom,,,,,460.00
Mecor,,Solid Wood,,,6 String,Green,Solid,,378.90
Carparelli,,,,Scarbrough Nine,6 String,Brown Burst,,,589.00
Eastman Guitars,,,,,,,,,1531.80
PRS,2017,,S2,Standard 22,6 String,Black Diamond,Solid,Right-Handed,717.99
Dean Guitars,,,,,,,,,429.00
Carparelli,,,,Cruger,6 String,Purple,,,519.00
,,,,,,Blue,,,460.00
Zemaitis,,,,C22MF,6 String,Natural,Solid,,1194.00
,,Mahogany,,Custom,6 String,,Solid,Right-Handed,475.00
Jackson,,,,Signature David Ellefson,5-String,Snow White,Solid,,749.99
Ernie Ball,,,,HSS,,White,,,1499.99
Jackson,,,,,,,,,699.99
Ibanez,,,,,,,,,399.99
Agile,,,,AL-3100MCC,6 String,Sea Foam Green,Solid,Right-Handed,388.00
Ibanez,,,,,,,,,399.99
Inyen,,,,,,,,,399.00
fusion guitar,2018,,,fg-nsa3-01bk,,Black,,,599.99
Balaguer Guitars,,,,,,,,,989.00
Gisten,2019,,,Custom,6 String,,,,369.00
Dean Guitars,,,,Custom,,,Solid,,500.00
Yamaha,,,,,,,,,339.99
EVH,,,,,,,,,899.99
ESP,,Solid Wood,,Ouija,6 String,Red Sparkle,Solid,,1399.00
Oscar Schmidt,,,,,,,,,297.00
Paul Reed Smith,2019,Mahogany,,Paul's Guitar,6 String,Fire Red,Solid,,999.00
D'Angelico,,,,,,,,Right-Handed,799.99
Hamer,,,,,,,,,399.95
Yamaha,,,,,,,,,699.99
Ibanez,,,,,,,,,299.99
EVH,2019,Basswood,,Wolgang WG Standard Exotic,6 String,Midnight Sunset,Solid,Right-Handed,649.99
Fender,,,,,,,,,399.99
Fender,,,,,,,,,999.99
Fender,2019,Mahogany,,ACOUSTASONICTELE,6 String,Brown,,Right-Handed,1999.99
Ibanez,,,,,,,,,399.99
Crossrock,,,,CRF1000GST,,,CRF1000GST,,289.00
Schecter,,,,,,,,,414.81
PRS,2019,Mahogany,SE Custom,SE Custom 24,6 String,Graphic/Black,Solid,Right-Handed,779.99
Schecter,,,,,,,,,349.00
EVH,,,,,,,,,899.99
,2019,,,,4 string,distressed flag,,,475.00
Ibanez,,,,,,,,,529.95
Michael Kelly,,,,,,,,,399.99
unbranded,,,,twisted warlock,,,Solid,,300.00
Schecter,,Alder,,PT,6 String,,Solid,,549.00
Fano,,,,JM6 Standard,,,,,1999.00
Ibanez,,,,,,,,,429.99
D'Angelico,,,D'Angelico Deluxe,Deluxe DC,6 String,Matte Plum,Semi-Hollow,Right-Handed,1469.00
Sublime Guitars,,,,,,,,,1249.00
G&L Guitars,,,,,,,,,1549.99
Does not apply,,,,,,,,,4200.00
Fender,,,,,,,,,824.99
,,,,,,Black,,,545.00
Eastman,,,,,,,,,899.00
Fender,,,,,,,,,449.99
Jackson,,,,,,,,,699.99
Yamaha,,,,,,,,,579.99
Hinnant,,,,,,,,,1999.99
G&L Guitars,,,,,,,,,1549.99
Mystic,,Solid Wood,,J54,6 String,Transparent Blue,Solid,,299.95
Washburn,2003,,,,,,,,399.00
D'Angelico,,,,,,,,Right-Handed,799.99
EVH,,,,,,,,,1299.99
Inyen,,,,,,Green,,,419.00
Yamaha,,,,,,,,,529.99
Fender,,,,,,,,,999.99
Ibanez,,Sapele,Ibanez Artcore AS,AS53-TKF,6 String,Transparent Black Flat,Semi-Hollow,,299.99
Gretsch,,,,,,,,,449.99
Rivolta Guitars,,,,Combinata VII,,,,,1099.00
Fender,,,,Stratocaster,Any,,Any,,285.00
Gibson,2016,,Gibson SG,SG Standard,,,,Left-Handed,1299.00
Ibanez,,,,,6 String,Black,Solid,,899.99
Vintage,,Solid Wood,,VS63VCR,6 String,,Solid,Right-Handed,649.00
Sublime,,,,,,,,,1149.00
Fender,,,,,,,,,2199.95
Esp Guitars,,,,LTD FRX-401,6 String,Snow White,Solid,,799.00
Xotic,,,,,,,,,2590.00
Xotic,,,,,,,,,2690.00
Eastman Guitars,,,,,,,,,1531.80
Dean,2009,,,Deceiver,6 String,Classic Black,,Right-Handed,695.00
Dean,,,,,6 String,Classic Black,,,1018.00
Hamer,,,,,,,,,499.95
Jackson,,,,,,,,,299.99
,,,,LTD H-1001FM,6 String,Green,,,585.00
Esp Guitars,,,,TE-254,6 String,Distressed 3-Tone Burst,Solid,,399.00
Zemaitis,,,,,,,,,1199.20
Gretsch,,,,,,,,,799.99
ESP,,,ESP LTD,MH-1000NT,,See Thru Purple,,,719.00
PRS,,,,,,,,,959.00
ESP,,,,,,,,,499.00
Dean,,,,,,,,,549.00
Traveler,,,,Ultra-Light Electric Torino Red,,,,,329.99
Ibanez,,Mahogany,,,,,Solidbody,,1599.99
Ibanez,,,,,,,,,1999.99
Fender,,,,,,,,,899.99
ESP,,Solid Wood,,Ouija,6 String,Red Sparkle,Solid,,1399.00
Fender,,,,,,,,,1199.99
Dean,,,,Angel of Death,6 String,,,,549.99
Dean,,,,,6 String,Trans Brazilia,Solid,,499.99
Ibanez,,,,,,,,,799.99
Dean,,,,,6 String,,,,599.99
Inyen,,,,,,Wine,,,389.00
D'Angelico,,,D'Angelico Ludlow,Deluxe Ludlow,6 String,Vintage White,Solid,Right-Handed,959.00
,,,,,,,,,1873.00
Dean,,,,,,,,,549.99
Dean,,,,,,,,,349.00
Unbranded,,Solid Wood,,,6 String,Trans Green,Solid,Right-Handed,326.38
Schecter,,,,,,,,,1019.00
Ibanez,,,,,,,,,699.99
Jackson,,,,,,,,,599.99
gingrich -- custom made,2017,Laminate,,axe,4 String,black & silver,axe,,550.00
Ibanez,,,,,,,,,399.99
Epiphone,,,Epiphone Les Paul,,,,,,303.00
Gretsch,,Alder,,,6 String,,Solid,,549.99
Dean,,Solid Wood,,Jon Lawhon,6 String,Sea Foam Green,Solid,,499.00
Xotic,,,,,,,,,3100.00
Legator,,,,,,,,,399.00
EVH,,,,,,,,,899.99
Ibanez,,,,,,,,,429.99
Squier,,,,,,,,,299.99
Fender,,,,,,,,,674.99
Jackson,,,,,,,,,599.99
Dean,,,,Dimebag ML,6 String,Green Slime,,,899.99
Traveler,,,,Escape Classical - Natural,,,,,529.99
Ibanez,,,,,,,,,349.99
Dean,,,,Deceiver - Classic Black,,,,,599.00
Fender,,,,,6 String,Yellow,Solid,,674.99
Fender,,,,,6 String,,Solid,,699.99
Ibanez,,,,,,,,,1349.00
,,,,,,,,,1200.00
Eastman,,,,,,,,,1702.00
Schecter Guitar Research,,,,,,,,,699.00
EVH,,,,,,,,,899.99
Dean,,,,,6 String,Gloss Natural,,,719.99
Fender,2007,Solid Wood,Fender Stratocaster,Stratocaster,6 String,Creme,Solid,,309.00
DeArmond,,Laminate,,X-155,6 String,Multicolor,Jazz,Right-Handed,550.00
KTONE,,,,,,,,,349.95
Epiphone,2018,,,SG G-400 PRO,6 String,Red,Solid,Right-Handed,399.95
Schecter,2016,,,,,Lambo Orange,,,369.00
Epiphone,,,,ES-335,,,,,439.00
,,,,,6 String,,,Right-Handed,999.99
Zemaitis,,,,,,,,,1199.20
PRS,,,,,,,,,959.00
,,,,,,,,,1200.00
Eastman,,,,,,,,,1702.00
Schecter Guitar Research,,,,,,,,,699.00
Dean Guitars,,,,,,,,,399.00
Eastman,,,,,,,,,1439.00
Schecter,,,,,,,,,299.00
Unbranded,,Solid Wood,,,6 String,Trans Blue,Solid,Right-Handed,326.38
Epiphone,,,Epiphone Les Paul,Les Paul Custom 100th Anniversary,,,Solid,,699.99
Schecter Guitar Research,,,,,,,,,839.00
Ibanez,,,,RG450DX Starlight Blue,,,,,399.99
ESP,,,,,,,,,499.00
Gretsch,,,,G5622TEMTCCBDCIMPRL,6 Strings,Georgia Green,,,799.99
Epiphone,,,Epiphone Les Paul Standard PlusTop Pro,Les Paul Standard Plus Top,,,,,700.00
ESP,,Basswood,,,,,,,549.00
Guild,,,,,6 String,Black,,,563.99
Schecter,,,,,,,,,699.99
Schecter,,,,,,,,,299.00
Dean,,,,TB DLX TAM,6 String,Amber,,,499.99
Zemaitis Guitars,,,,,,,,,1199.20
Dean,,,,,6 String,,,,739.99
Schecter Guitar Research,,,,,,,,,599.00
Dismal Ax,2018,Sassafras,,SC,6 String,Blue,Semi-Hollow,Right-Handed,1600.00
Sterling by Music Man,,,,,,,,,633.48
Jackson,,,,,,,,,599.99
Sterling by Music Man,2017,,,SR50,6 String,Black,Solid,,459.99
Oscar Schmidt,,,,,,,,,417.00
ESP,,,,,,,,,999.99
Epiphone,,,,,6 String,Black,,,399.95
Jackson,,,,,,,,,649.99
D'Angelico,,,,DADSSMPKGSCB,6 String,Matte Rose Pink,Semi-Hollow,Right-Handed,1399.00
Eastwood,,,Warren Ellis,Tenor,4 Strings,Cream,Solid Body,,479.00
Schecter,,,,,,,,,1229.00
Tanglewood,2019,Acacia,,Kensington,6 String,,Semi-Acoustic,Right-Handed,299.99
Schecter Guitar Research,,,,,,,,,459.00
Schecter Guitar Research,,,,,,,,,1089.00
Ibanez,,,,,,,,,299.99
Schecter,,,,,,,,,979.00
Dean,2019,Solid Wood,Modern 24,Modern 24 Select,6 String,Tiger Eye,Solid,Right-Handed,699.00
Ibanez,,,,,,,,,349.99
Dean,,,,,,,,,599.99
Dean Guitars,,,,,,,,,299.00
Legator,,,,,,,,,1599.00
Sublime,,,,,,,,,1149.00
Fender,,,Fender Telecaster,Player Telecaster,6 String,Tidepool,,,674.99
Dean,,,,,6 String,Brown,,,349.00
Eastman,,,,,,,,,899.00
Schecter Guitar Research,,,,,,,,,599.00
Eric Rifftone,,Maple,,Strat,6 String,Gray,Solid,Right-Handed,350.00
Ibanez,,,,,,,,,399.99
Dean,,,,,6 String,Silver,,,529.99
Ibanez,,,,,,,,,1999.99
McSwain Guitars,,,,,,,,,4425.00
Schecter,,,,Hellcat VI,6 String,3-Tone Sunburst Pearl,Solid,,999.00
Schecter,,,,Hellraiser C-7 FR,7 String,Gloss White,Solid,,1164.00
Zemaitis,,,,,,,,,779.00
Dean Guitars,,,,,,,,,399.00
Fender,,,,,,,,,4750.00
Daisy Rock,,,,,,,,,415.79
MTD,,Solid Wood,,Kingston Rubicon 6-22,6 String,Dr. Brown's Burst,Solid,,529.99
Unbranded,,Basswood,,Custom,6 String,Brown,Solid,Right-Handed,799.00
Legator,,,,,,,,,429.00
Fender,,,,,,,,,674.99
Fender,,,,,,,,,899.99
PRS,2019,,,SE Pauls Guitar,6 String,Amber,Solid,Right-Handed,999.00
Washburn,,,,,,,,,899.00
AIO,,,,AIO Stratrocaster,6 String,Natural,Solid,,479.00
Godin,,Maple,,A6 Ultra,6 String,Red,,,975.00
Dean,,,,COLTBAQA,,,,,899.00
Dean,,,,Michael Schenker Yin Yang,,,,,659.00
Eric Rifftone,,,,jag,,,Solid,,400.00
D'Angelico Guitars,,,,,,,,,1399.00
CORDOBA,,,,,,,,,419.00
Dean,,Solid Wood,,Icon,6 String,Faded Denim,Solid,,699.00
Yamaha,,,,,,,,,429.99
Fender,,,,,,,,,4750.00
Dean,,,,ML 79 Standard w/ Full PG Limited Run,6 String,Classic Black,,,599.00
Xotic,,,,,,,,,2800.00
