Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
ESP LTD,,,,,6,,Solid,,499.00
Fender,,,,,,,,,1049.99
Schecter,,,,Vintage,6 String,Vintage Sunburst,Solid,,579.00
Ibanez,,,,,6,Red,,,349.00
Legator,,,,,,,,,2099.00
Dean Guitars,,Mahogany,,,,,Solidbody,,849.00
Fender,2019,Mahogany,American Acoustasonic Telecaster,Telecaster,6 String,Black,,Right-Handed,1999.99
Yamaha,,,,,,,,,283.88
Dean,,,,STHF DS,,Dimeslime,Mahogany Body,,796.30
Fender,,Alder,,,,,Solidbody,,899.99
Legator,,,,,,,,,2099.00
PRS,,,,SE Paul's Guitar,6 String,Amber w/Tobacco Back,Solid,Right-Handed,999.00
total Music Source,,,,,,,,,559.99
Schecter,,,,,,,,,999.00
Martin,,,,,,,,,3099.00
Acer Guitars,2019,,,,6 String,,,Right-Handed,2645.00
Schecter Guitar Research,,,,,,,,,329.00
Schecter Guitar Research,,,,,,,,,369.00
Schecter,,,,,,,,,1329.00
Robin,,,,Vintage,,Red,,,998.88
ESP,,,,,,,,,749.00
Dean Guitars,,Mahogany,,,,,Semi-Hollow Body,,999.00
Jackson,,,,,,,,,999.99
Fender,,,,Players Telecaster,6 String,Red,Solid,,674.99
ESP,,,,,,,,,999.00
Schecter,,,,,,,,,1061.88
Dean,,,,,6 String,Ocean Burst,Z,,1050.00
Fender,,Alder,,,,,Solidbody,,824.99
Ibanez,,Maple,,,,,Semi-Hollow Body,,499.99
Jackson,,Basswood,,,,,Solidbody,,649.99
Charvel,,Ash,,,,,Solidbody,,799.99
Ibanez,,Basswood,Ibanez RG,,6 String,Black,Solid,Right-Handed,699.99
Fender,,,,,,,,,899.99
Fender,,,,,,,,,899.99
Licesa,2018,Solid Wood,,,6 String,Sunburst,Solid,Right-Handed,1199.00
Schecter,2019,,,3664,6,Black,Solid,Right handed,419.00
Schecter,,,,,,,,,699.00
Jackson,,,,,,,,,899.99
Dean Guitars,,,,,,,,,499.00
Traveler,,,,,,,,,349.77
Fender,,Alder,,,,,Solidbody,,1549.99
Teisco,,,,EP-10T VEGAS,6 String,,Semi-Hollow,Right-Handed,469.99
Schecter Guitar Research,,,,,,,,,599.00
D'Angelico Guitars,,,,,,,,,799.99
Dean Guitars,,,,,,,,,849.00
Ibanez,,Mahogany,,,,,Solidbody,,499.99
Ibanez,,,,,,,,,2799.99
ESP,,,,,,,,,1899.00
Fender,2019,Mahogany,,,6 String,Green,Solid,Right-Handed,1999.99
Fender,,Alder,,,,,Solidbody,,674.99
Schecter Guitar Research,,,,,,,,,489.00
Gretsch,,,,,,,,,516.88
Charvel,,Okoume,,,,,Solidbody,,899.99
Schecter Guitar Research,,,,,,,,,1189.00
Dean Guitars,,,,,,,,,959.00
Schecter,,,,,,,,,950.00
,,,,Custom,,Black,,,630.00
total Music Source,,,,,,,,,599.00
Ibanez,,Solid Wood,,ART120BK,6 String,Black,Solid,,299.99
Fender,,Mahogany,,,6 String,Black,,Right-Handed,1499.99
Jackson,,Mahogany,,,,,Solidbody,,899.99
Danelectro,,,,,,,,,699.00
Yamaha,,,,,,,,,700.88
Dean,,,,,,,,,499.00
Fender,,,,,,,,,674.99
Fender,,,,,6 String,Black,Solid,,674.99
PRS,,,,,,,,,3679.00
Schecter,,,,Corsair w/ Bigsby,6 String,Black,Semi-Hollow,,769.00
Fender,,Alder,,,,,Solidbody,,824.99
Fender,,,,,6 String,Black,Solid,,674.99
Peavey,,,,,6 String,Brown,,,449.99
Fender,,Alder,,,,,Solidbody,,824.99
Schecter,,,,,,,,,1029.00
,,,,Les Paul Standard,,,,,399.55
Schecter Guitar Research,,,,,,,,,599.00
Schecter,,,,,6,,,,819.00
Schecter,,,,S-1,6 String,Aged Natural Satin,Solid,,599.00
KOR/SONIC,,,,Vintage,,,,,300.00
Sublime Guitars,,,,,,,,,849.00
Schecter,2018,,,Demon-6 ABSN 2018,6 String,Aged Black Satin,Solid,,419.00
,,,,,,,,,1799.00
