Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Fender,,,,0370330569,,,,,399.99
Fender,,,,DELUXESTRATHSSMNBLZ,6 Strings,,,,649.00
Fender,,,,Stratocaster,,,,,479.99
Fender,2019,Maple,Ultra Series,,6 String,Mocha Burst,Solid,Right-Handed,1899.99
Fender,,,Fender Stratocaster 70's Pawn Shop,70's pawn shop,6 String,Vintage White VWT,Stratocaster,Right-Handed,909.00
Fender,2017,,Fender American Stratocaster,Limited Edition American Stratocaster,,,,,1295.00
Fender,1999,Alder,American Deluxe Telecaster,American Deluxe Telecaster,6 String,Transparent Crimson Red,,Right-Handed,1290.00
Fender,2007,,Fender Telecaster,,6 String,Black,Solid,Right-Handed,1135.00
Fender,,,,,,,,,549.88
Fender,2019,Alder,Fender Ultra,American Ultra Jazz Bass,4 String,Cobra Blue,Solid,Right-Handed,1999.99
Fender,,,,,,,,,689.00
Fender,1969,Solid Wood,Jaguar,Jaguar,6 String,Sunburst,Solid,Right-Handed,2399.99
Squier,,,,,,,,,349.99
Fender,2019,Alder,Player Series,Players Strat,6 String,Buttercream,Solid,Right-Handed,607.50
Fender,2006,,Nashville Deluxe Series,Telecaster Nashville Deluxe 60th Anniversary Ed.,6 String,Red,Solid,Right-Handed,879.00
Fender,2019,Mahogany,Fender Stratocaster,Stratocaster HHH,6 String,Olympic White,Solid,Right-Handed,899.99
Fender,,,,,,,,,1099.00
Fender,1999,Ash,Fender Stratocaster,Deluxe Ash Strat w/USA Neck,6 String,Sunburst,Solid,Right-Handed,739.99
Fender,,,,,,,,,1899.99
Fender,,,,,,,,,699.99
Fender,,,,,,,,,899.99
Squier,,,,,6 String,,,,375.00
Fender,1996,Alder,,Jaguar,,sunburst,Solid,Right-Handed,795.00
Squier,,,Fender Stratocaster,,,,,,397.24
Fender,,,,0140101740,6 Strings,Daphne Blue,,,949.00
Fender,2012,,Fender Telecaster,Telecaster Thinline,,Black,,,1899.00
Fender,2013,Ash,American Standard,American Standard Telecaster,6 String,Natural,Solid,Right-Handed,1049.99
Fender,,,,,,,,,449.99
Fender,,,,,,,,,449.99
Fender,,,,,6 String,Blue,Solid,,696.99
Fender,,Maple,,Coronado II,6 String,Multicolor,Semi-Hollow,Right-Handed,615.00
Fender,,,,,,,,,567.61
Fender,2009,,,Custom,,Red,,,655.00
Fender,,,Fender Jazzmaster,Jazzmaster,6 String,White,Solid,Right-Handed,1799.00
,,,,,,,,,409.88
Fender,2018,Alder,Player Series,Telecaster,6 String,Butterscotch Blonde,Solid Body,Right-Handed,607.49
Fender,1990,,Fender Stratocaster,Stratocaster Plus,6 String,Silver,Solid,Right-Handed,899.95
Fender,,,,Custom Shop Stratocaster,6 String,White,Solid,Right-Handed,2895.00
Fender Squier,,,,,,,,Right-Handed,349.99
Fender,,,,,,,,,1299.00
Fender,,Maple,Fender Telecaster,American Ultra Telecaster,6 String,,Solid,Right-Handed,1999.99
VR (Vintage Relic),2019,'Solid Wood, Ash',,Stratocaster,6 String,Blonde,Solid,,799.00
Fender,2013,,Fender Mustang,Mustang,6 String,Burst,Mustang,Right-Handed,949.00
Gibson,1982,,,Bullet,6 String,Red,Solid,Right-Handed,600.00
Fender,2018,Alder,,Stratocaster,6 String,Polar White,Sold,,649.99
Fender,2002,Solid Wood,Highway One,Highway One Stratocaster,6 String,Teal Green Transparent,Solid,Right-Handed,769.00
Fender,2013,,Fender American Stratocaster Deluxe,American Deluxe Stratocaster,6 String,Burgundy Mist,Stratocaster,Right-Handed,1095.00
Fender,,,Player,0144523582,6 String,Capri Orange,Solid,Right-Handed,674.99
,,,,,,,,,777.88
,,,,,,,,,579.88
Squier,,,,,,,,,359.99
